OBJECTID,DIVISION_NUM,YEAR,DIVISION_SCORE,Shape__Area,Shape__Length
1986,5601,2018,1.68253968253968,1888188.32470703,5845.28373874731
1987,5902,2018,2.05797101449275,3741216.46557617,8839.33955407146
1988,5318,2018,1.875,1772841.30670166,5342.67752249043
1989,0914,2018,1.45454545454546,1472947.5322876,4948.5647147041
1990,2221,2018,1.80701754385965,1117664.79852295,4896.42369334674
1991,5319,2018,1.87878787878788,1613831.57403564,6171.0737672134
1992,5615,2018,1.69590643274854,3736538.23669434,8099.12675274274
1993,5322,2018,1.8018018018018,1330546.43353271,6017.77902694321
1994,2103,2018,1.83333333333333,1039149.06658936,4331.87023347369
1995,6416,2018,1.80952380952381,4470945.01525879,10460.4590189734
1996,1020,2018,1.96825396825397,1115700.50402832,4749.48617644787
1997,1008,2018,1.8125,692924.154602051,3562.45074762751
1998,2212,2018,1.92982456140351,1210432.99365234,4804.05391754371
1999,6125,2018,1.75886524822695,1708374.30102539,5759.81238350846
2000,1007,2018,1.95238095238095,772756.098693848,3855.25682268917
2001,3507,2018,1.74863387978142,2212510.26306152,6643.43138677453
2002,6404,2018,1.5042735042735,9169414.89581299,17583.7029044084
2003,6503,2018,1.74509803921569,2397063.66082764,7878.29890769564
2004,5311,2018,1.97435897435897,1051362.62780762,4785.84990202893
2005,5420,2018,1.58620689655172,1382623.86523438,5163.404429287
2006,3525,2018,1.61616161616162,1071869.26019287,5160.61809401669
2007,6120,2018,1.9047619047619,722123.062866211,5595.83607005135
2008,2209,2018,1.70833333333333,1283938.47961426,4955.23364159933
2009,6128,2018,1.92592592592593,1448417.4118042,6415.61162320875
2010,1012,2018,1.98850574712644,4161296.83282471,8424.99720241357
2011,1028,2018,1.68253968253968,1579700.07781982,8702.1811270147
2012,5604,2018,1.54716981132075,1957595.40576172,7937.60103519615
2013,1011,2018,1.93939393939394,1136050.64959717,6244.85553565444
2014,1006,2018,2.24242424242424,758409.671508789,4521.54019604948
2015,1004,2018,1.76666666666667,905373.131347656,4332.69539131693
2016,1024,2018,1.7948717948718,577337.332885742,3125.38175188948
2017,1005,2018,1.72727272727273,1083393.59899902,6106.03853014838
2018,5609,2018,1.5,2132810.91394043,6355.04766120835
